,0,0,0,0,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Runtime,IMDb,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,IMDb_rate
22,0.1548731642189586,0.9387755102040816,0.6000000000000001,0.9406779661016955,2013,3,92,1,0,0,0,117.0,8.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
23,0.13618157543391188,0.8571428571428571,0.2,0.9322033898305087,2012,1,84,1,0,0,0,103.0,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.0
24,0.12416555407209613,0.9591836734693877,0.6000000000000001,0.6525423728813564,1979,3,94,1,0,0,0,94.0,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1
25,0.14285714285714288,0.9285714285714285,0.6000000000000001,0.9576271186440692,2015,3,91,1,0,0,0,108.0,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,7.7
26,0.16154873164218958,0.9285714285714285,0.6000000000000001,0.9322033898305087,2012,3,91,1,0,0,0,122.0,7.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.7
27,0.14819759679572764,0.9081632653061223,0.6000000000000001,0.9067796610169516,2009,3,89,1,0,0,0,112.0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7.9
28,0.27770360480640854,0.9693877551020408,0.6000000000000001,0.9915254237288131,2019,3,95,1,0,0,0,209.0,7.9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9
29,0.12817089452603472,0.9081632653061223,0.6000000000000001,0.9067796610169516,2009,3,89,1,0,0,0,97.0,7.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.9
30,0.18157543391188252,0.9591836734693877,0.6000000000000001,0.9915254237288131,2019,3,94,1,0,0,0,137.0,8.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.0
31,0.1321762349799733,0.9285714285714285,0.6000000000000001,0.9237288135593218,2011,3,91,1,0,1,0,100.0,7.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8
32,0.15620827770360482,0.9489795918367346,0.0,0.9661016949152561,2016,0,93,1,0,1,0,118.0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.5
33,0.15620827770360482,0.9489795918367346,0.8,0.9830508474576298,2018,4,93,1,0,0,0,118.0,7.6,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.6
34,0.2136181575433912,0.8775510204081632,0.8,0.9661016949152561,2016,4,86,1,0,0,0,161.0,8.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.4
